retries,elapsed,delay,loss,size,rate,proto,GTRs
0,73.45218200,0.0,0.0,100000,1361.0,IPv6,11
0,110.20455600,0.0,0.0,100000,907.4,IPv4,8
0,110.51652900,0.0,0.0,100000,904.8,IPv6,17
0,114.23260600,0.0,0.0,100000,875.4,IPv4,11
0,98.03298600,0.0,0.0,100000,1020.0,IPv6,15
0,72.73206300,0.0,0.1,100000,1375.0,IPv4,9
0,77.54611100,0.0,0.1,100000,1290.0,IPv6,10
0,77.36299000,10.1,0.1,100000,1293.0,IPv4,8
0,85.74699300,10.1,0.1,100000,1166.0,IPv6,8
0,77.36141000,20.1,0.1,100000,1293.0,IPv4,13
0,93.94777400,20.1,0.1,100000,1064.0,IPv6,12
0,101.88796600,50.0,0.1,100000,981.5,IPv4,9
0,73.45591500,50.0,0.1,100000,1361.0,IPv6,15
0,69.17846000,100.0,0.1,100000,1446.0,IPv4,9
0,73.45765500,100.0,0.1,100000,1361.0,IPv6,7
0,110.17061600,200.0,0.1,100000,907.7,IPv4,11
0,98.01689000,200.0,0.1,100000,1020.0,IPv6,11
0,114.40722600,500.0,0.1,100000,874.1,IPv4,10
0,98.52562900,500.0,0.1,100000,1015.0,IPv6,23
0,72.17291600,0.0,10.0,100000,1386.0,IPv4,8
0,77.54564200,0.0,10.0,100000,1290.0,IPv6,8
0,151.06027800,10.1,10.0,100000,662.0,IPv4,37
0,89.84899800,10.1,10.0,100000,1113.0,IPv6,12
0,81.41955900,20.1,10.0,100000,1228.0,IPv4,21
0,93.96849000,20.1,10.0,100000,1064.0,IPv6,12
0,97.85011800,50.0,10.0,100000,1022.0,IPv4,15
0,73.47941800,50.0,10.0,100000,1361.0,IPv6,12
0,69.24019300,100.0,10.0,100000,1444.0,IPv4,9
0,143.18567300,100.0,10.0,100000,698.4,IPv6,25
0,110.10647200,200.0,10.0,100000,908.2,IPv4,8
0,110.31942000,200.0,10.0,100000,906.5,IPv6,15
0,114.48938100,500.0,10.0,100000,873.4,IPv4,13
0,98.54345000,500.0,10.0,100000,1015.0,IPv6,16
0,72.20802700,0.0,20.0,100000,1385.0,IPv4,17
0,73.44033400,0.0,20.0,100000,1362.0,IPv6,23
0,77.39910500,10.1,20.0,100000,1292.0,IPv4,9
0,442.10767800,10.1,20.0,100000,226.2,IPv6,71
0,77.37376000,20.1,20.0,100000,1292.0,IPv4,31
0,102.15724200,20.1,20.0,100000,978.9,IPv6,9
0,101.90622500,50.0,20.0,100000,981.3,IPv4,14
0,73.45673800,50.0,20.0,100000,1361.0,IPv6,31
